order_id,tag,side,entry,exit,sl,tp,R,pnl_usd
26,TP,1,1.1697514138891232,1.1776953625398707,1.1639739966885796,1.1776953625398707,1.375000000000019,2.750000000000038
27,TP,-1,1.2124934285942266,1.204397419781914,1.2183814350031812,1.204397419781914,1.3749999999999951,2.7499999999999902
28,TP,1,1.185416077475722,1.1938227186714236,1.1793021566061208,1.1938227186714236,1.374999999999968,2.749999999999936
29,SL,1,1.1937937849765397,1.1879525213252446,1.1879525213252446,1.2018255224970702,-1.0,-2.0
30,TP,-1,1.1847264936319315,1.1761968382699772,1.1909298793497165,1.1761968382699772,1.374999999999982,2.749999999999964
31,TP,-1,1.1072240781454221,1.1012030564176494,1.1107387235177526,1.1012030564176494,1.7131235416164738,3.4262470832329477
32,SL,1,1.1017128887998409,1.0972437233190118,1.0972437233190118,1.1075824971017276,-1.0,-2.0
33,SL,-1,1.0968844976385554,1.100894807706713,1.100894807706713,1.091678266327446,-1.0,-2.0
34,SL,1,1.0744436568541258,1.0704928356864596,1.0704928356864596,1.0852584701203476,-1.0,-2.0
35,SL,-1,1.0786175187635432,1.0821282756246904,1.0821282756246904,1.0735718844157713,-1.0,-2.0
36,TP,-1,1.080986034696496,1.0741643335003042,1.0846861191079915,1.0741643335003042,1.8436609648681905,3.687321929736381
37,SL,-1,1.0849692386609264,1.0894994752274794,1.0894994752274794,1.0782644620771926,-1.0,-2.0
38,SL,-1,1.103436052028621,1.1075794703918225,1.1075794703918225,1.0978507349406161,-1.0,-2.0
39,SL,-1,1.1067189793472787,1.1110097998916233,1.1110097998916233,1.0984111126071292,-1.0,-2.0
40,SL,-1,1.1367759526734758,1.140573564126187,1.140573564126187,1.1310924240429565,-1.0,-2.0
41,TP,-1,1.1393009719390668,1.131709111283846,1.1430426603119088,1.131709111283846,2.0289933042858563,4.057986608571713
42,TP,1,1.124599091578868,1.1306964703354336,1.1206495310302917,1.1306964703354336,1.543811946056571,3.087623892113142
